Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Embarked,Age_Range,Fare_range
0.0,3.0,20.0,0.0,0.0,7.8542,male,S,16 - 20,1 - 10
0.0,1.0,46.0,1.0,0.0,61.175,male,S,41 - 55,41 - 80
0.0,3.0,26.0,1.0,2.0,20.575,male,S,21 - 30,21 - 40
0.0,3.0,59.0,0.0,0.0,7.25,male,S,51 - 60,1 - 10
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,1.0,71.0,0.0,0.0,34.6542,male,C,71 - 80,21 - 40
1.0,1.0,23.0,0.0,1.0,63.3583,male,C,21 - 30,41 - 80
1.0,2.0,34.0,0.0,1.0,23.0,female,S,31 - 40,21 - 40
0.0,2.0,34.0,1.0,0.0,26.0,male,S,31 - 40,21 - 40
0.0,3.0,28.0,0.0,0.0,7.8958,female,S,21 - 30,1 - 10
0.0,3.0,33.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
0.0,1.0,21.0,0.0,1.0,77.2875,male,S,21 - 30,41 - 80
0.0,3.0,33.0,0.0,0.0,8.6542,male,S,31 - 40,1 - 10
0.0,3.0,37.0,2.0,0.0,7.925,male,S,31 - 40,1 - 10
0.0,3.0,28.0,0.0,0.0,7.8958,male,S,21 - 30,1 - 10
1.0,3.0,21.0,0.0,0.0,7.65,female,S,21 - 30,1 - 10
1.0,3.0,24.0,0.0,0.0,7.775,male,S,21 - 30,1 - 10
0.0,3.0,38.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
1.0,3.0,29.0,1.0,0.0,24.15,female,Q,21 - 30,21 - 40
0.0,1.0,47.0,0.0,0.0,52.0,male,S,41 - 55,41 - 80
0.0,3.0,14.5,1.0,0.0,14.4542,female,C,11 - 15,11 - 20
0.0,3.0,22.0,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,3.0,20.0,1.0,0.0,9.825,female,S,16 - 20,1 - 10
0.0,3.0,17.0,0.0,0.0,14.4583,female,C,16 - 20,11 - 20
0.0,3.0,21.0,0.0,0.0,7.925,male,S,21 - 30,1 - 10
0.0,3.0,70.5,0.0,0.0,7.75,male,Q,71 - 80,1 - 10
0.0,2.0,29.0,1.0,0.0,21.0,male,S,21 - 30,21 - 40
0.0,1.0,24.0,0.0,1.0,247.5208,male,C,21 - 30,161 - 320
0.0,3.0,2.0,4.0,2.0,31.275,female,S,1 - 5,21 - 40
0.0,2.0,21.0,2.0,0.0,73.5,male,S,21 - 30,41 - 80
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,2.0,32.5,1.0,0.0,30.0708,male,C,31 - 40,21 - 40
1.0,2.0,32.5,0.0,0.0,13.0,female,S,31 - 40,11 - 20
0.0,1.0,54.0,0.0,1.0,77.2875,male,S,51 - 60,41 - 80
1.0,3.0,12.0,1.0,0.0,11.2417,male,C,11 - 15,11 - 20
0.0,3.0,67.75,0.0,0.0,7.75,male,Q,61 - 70,1 - 10
1.0,3.0,24.0,0.0,0.0,7.1417,male,S,21 - 30,1 - 10
1.0,3.0,4.0,1.0,1.0,22.3583,female,C,1 - 5,21 - 40
0.0,3.0,45.0,0.0,0.0,6.975,male,S,41 - 55,1 - 10
0.0,3.0,33.0,0.0,0.0,7.8958,male,C,31 - 40,1 - 10
0.0,3.0,20.0,0.0,0.0,7.05,male,S,16 - 20,1 - 10
0.0,3.0,47.0,1.0,0.0,14.5,female,S,41 - 55,11 - 20
1.0,2.0,29.0,1.0,0.0,26.0,female,S,21 - 30,21 - 40
0.0,2.0,25.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
0.0,2.0,23.0,0.0,0.0,15.0458,male,C,21 - 30,11 - 20
1.0,1.0,19.0,0.0,2.0,26.2833,female,S,16 - 20,21 - 40
0.0,1.0,37.0,1.0,0.0,53.1,male,S,31 - 40,41 - 80
0.0,3.0,16.0,0.0,0.0,9.2167,male,S,16 - 20,1 - 10
0.0,1.0,24.0,0.0,0.0,79.2,male,C,21 - 30,41 - 80
0.0,3.0,15.0,0.0,2.0,15.2458,female,C,11 - 15,11 - 20
1.0,3.0,22.0,0.0,0.0,7.75,female,S,21 - 30,1 - 10
1.0,3.0,24.0,1.0,0.0,15.85,female,S,21 - 30,11 - 20
0.0,3.0,19.0,0.0,0.0,6.75,male,Q,16 - 20,1 - 10
0.0,2.0,18.0,0.0,0.0,11.5,male,S,16 - 20,11 - 20
0.0,2.0,19.0,1.0,1.0,36.75,male,S,16 - 20,21 - 40
1.0,3.0,27.0,0.0,0.0,7.7958,male,S,21 - 30,1 - 10
0.0,3.0,9.0,2.0,2.0,34.375,female,S,6 - 10,21 - 40
0.0,2.0,36.5,0.0,2.0,26.0,male,S,31 - 40,21 - 40
0.0,2.0,42.0,0.0,0.0,13.0,male,S,41 - 55,11 - 20
0.0,2.0,51.0,0.0,0.0,12.525,male,S,51 - 60,11 - 20
1.0,1.0,22.0,1.0,0.0,66.6,female,S,21 - 30,41 - 80
0.0,3.0,55.5,0.0,0.0,8.05,male,S,51 - 60,1 - 10
0.0,3.0,40.5,0.0,2.0,14.5,male,S,41 - 55,11 - 20
0.0,3.0,40.5,0.0,0.0,7.3125,male,S,41 - 55,1 - 10
0.0,1.0,51.0,0.0,1.0,61.3792,male,C,51 - 60,41 - 80
1.0,3.0,16.0,0.0,0.0,7.7333,female,Q,16 - 20,1 - 10
0.0,3.0,30.0,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,3.0,25.0,0.0,0.0,8.6625,male,S,21 - 30,1 - 10
0.0,3.0,45.5,8.0,2.0,69.55,male,S,41 - 55,41 - 80
0.0,3.0,44.0,0.0,1.0,16.1,male,S,41 - 55,11 - 20
1.0,2.0,40.0,0.0,0.0,15.75,female,S,31 - 40,11 - 20
0.0,3.0,26.0,0.0,0.0,7.775,male,S,21 - 30,1 - 10
0.0,3.0,17.0,0.0,0.0,8.6625,male,S,16 - 20,1 - 10
0.0,3.0,1.0,4.0,1.0,39.6875,male,S,1 - 5,21 - 40
1.0,3.0,9.0,0.0,2.0,20.525,male,S,6 - 10,21 - 40
1.0,1.0,30.5,0.0,1.0,55.0,female,S,31 - 40,41 - 80
0.0,3.0,45.0,1.0,4.0,27.9,female,S,41 - 55,21 - 40
0.0,1.0,55.5,0.0,0.0,25.925,male,S,51 - 60,21 - 40
0.0,3.0,28.0,0.0,0.0,56.4958,male,S,21 - 30,41 - 80
0.0,1.0,61.0,0.0,0.0,33.5,male,S,61 - 70,21 - 40
0.0,3.0,4.0,4.0,1.0,29.125,male,Q,1 - 5,21 - 40
1.0,3.0,1.0,1.0,1.0,11.1333,female,S,1 - 5,11 - 20
0.0,3.0,21.0,0.0,0.0,7.925,male,S,21 - 30,1 - 10
0.0,1.0,56.0,0.0,0.0,30.6958,male,C,51 - 60,21 - 40
0.0,3.0,18.0,1.0,1.0,7.8542,male,S,16 - 20,1 - 10
0.0,3.0,27.5,3.0,1.0,25.4667,male,S,21 - 30,21 - 40
0.0,1.0,50.0,0.0,0.0,28.7125,female,C,41 - 55,21 - 40
0.0,2.0,30.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
0.0,3.0,36.0,0.0,0.0,0.0,male,S,31 - 40,0
0.0,3.0,45.5,8.0,2.0,69.55,female,S,41 - 55,41 - 80
0.0,2.0,35.0,0.0,0.0,15.05,male,C,31 - 40,11 - 20
0.0,3.0,9.0,4.0,2.0,31.3875,male,S,6 - 10,21 - 40
1.0,2.0,1.0,2.0,1.0,39.0,male,S,1 - 5,21 - 40
1.0,3.0,4.0,0.0,2.0,22.025,female,S,1 - 5,21 - 40
0.0,1.0,51.0,0.0,0.0,50.0,male,S,51 - 60,41 - 80
1.0,3.0,19.5,1.0,0.0,15.5,female,Q,16 - 20,11 - 20
1.0,1.0,45.0,0.0,0.0,26.55,male,S,41 - 55,21 - 40
0.0,3.0,40.0,1.0,1.0,15.5,male,Q,31 - 40,11 - 20
0.0,3.0,36.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
1.0,2.0,32.0,0.0,0.0,13.0,female,S,31 - 40,11 - 20
0.0,2.0,19.0,0.0,0.0,13.0,male,S,16 - 20,11 - 20
1.0,3.0,19.0,1.0,0.0,7.8542,female,S,16 - 20,1 - 10
1.0,2.0,3.0,1.0,1.0,26.0,male,S,1 - 5,21 - 40
1.0,1.0,44.0,0.0,0.0,27.7208,female,C,41 - 55,21 - 40
1.0,1.0,58.0,0.0,0.0,146.5208,female,C,51 - 60,81 - 160
0.0,3.0,67.75,0.0,0.0,7.75,male,Q,61 - 70,1 - 10
0.0,3.0,42.0,0.0,1.0,8.4042,male,S,41 - 55,1 - 10
1.0,3.0,19.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
0.0,2.0,24.0,0.0,0.0,13.0,female,S,21 - 30,11 - 20
0.0,3.0,28.0,0.0,0.0,9.5,male,S,21 - 30,1 - 10
0.0,3.0,45.5,8.0,2.0,69.55,male,S,41 - 55,41 - 80
0.0,3.0,34.0,0.0,0.0,6.4958,male,S,31 - 40,1 - 10
0.0,3.0,45.5,0.0,0.0,7.225,male,C,41 - 55,1 - 10
1.0,3.0,18.0,0.0,0.0,8.05,male,S,16 - 20,1 - 10
0.0,3.0,2.0,0.0,1.0,10.4625,female,S,1 - 5,11 - 20
0.0,3.0,32.0,1.0,0.0,15.85,male,S,31 - 40,11 - 20
1.0,3.0,26.0,0.0,0.0,18.7875,male,C,21 - 30,11 - 20
1.0,3.0,16.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
1.0,1.0,40.0,0.0,0.0,31.0,male,C,31 - 40,21 - 40
0.0,3.0,24.0,0.0,0.0,7.05,male,S,21 - 30,1 - 10
1.0,2.0,35.0,0.0,0.0,21.0,female,S,31 - 40,21 - 40
0.0,3.0,22.0,0.0,0.0,7.25,male,S,21 - 30,1 - 10
0.0,2.0,30.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
0.0,3.0,25.5,1.0,0.0,7.75,male,Q,21 - 30,1 - 10
1.0,1.0,31.0,1.0,0.0,113.275,female,C,31 - 40,81 - 160
1.0,3.0,27.0,0.0,0.0,7.925,female,S,21 - 30,1 - 10
0.0,2.0,42.0,1.0,0.0,27.0,male,S,41 - 55,21 - 40
1.0,1.0,32.0,0.0,0.0,76.2917,female,C,31 - 40,41 - 80
0.0,2.0,30.0,0.0,0.0,10.5,male,S,21 - 30,11 - 20
1.0,3.0,16.0,0.0,0.0,8.05,male,S,16 - 20,1 - 10
0.0,2.0,27.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
0.0,3.0,51.0,0.0,0.0,8.05,male,S,51 - 60,1 - 10
0.0,3.0,33.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
1.0,1.0,38.0,1.0,0.0,90.0,male,S,31 - 40,81 - 160
0.0,3.0,22.0,0.0,0.0,9.35,male,S,21 - 30,1 - 10
1.0,2.0,19.0,0.0,0.0,10.5,male,S,16 - 20,11 - 20
0.0,3.0,20.5,0.0,0.0,7.25,male,S,21 - 30,1 - 10
0.0,2.0,18.0,0.0,0.0,13.0,male,S,16 - 20,11 - 20
0.0,3.0,25.0,3.0,1.0,25.4667,female,S,21 - 30,21 - 40
1.0,1.0,35.0,1.0,0.0,83.475,female,S,31 - 40,81 - 160
0.0,3.0,29.0,0.0,0.0,7.775,male,S,21 - 30,1 - 10
0.0,2.0,59.0,0.0,0.0,13.5,male,S,51 - 60,11 - 20
1.0,3.0,5.0,4.0,2.0,31.3875,female,S,1 - 5,21 - 40
0.0,2.0,24.0,0.0,0.0,10.5,male,S,21 - 30,11 - 20
0.0,3.0,33.0,0.0,0.0,7.55,female,S,31 - 40,1 - 10
0.0,2.0,44.0,1.0,0.0,26.0,male,S,41 - 55,21 - 40
1.0,2.0,8.0,0.0,2.0,26.25,female,S,6 - 10,21 - 40
0.0,2.0,19.0,0.0,0.0,10.5,male,S,16 - 20,11 - 20
0.0,2.0,33.0,0.0,0.0,12.275,male,S,31 - 40,11 - 20
0.0,3.0,30.75,1.0,0.0,14.4542,female,C,31 - 40,11 - 20
1.0,3.0,19.5,1.0,0.0,15.5,female,Q,16 - 20,11 - 20
0.0,2.0,29.0,0.0,0.0,10.5,male,S,21 - 30,11 - 20
0.0,3.0,22.0,0.0,0.0,7.125,male,S,21 - 30,1 - 10
0.0,3.0,30.0,0.0,0.0,7.225,male,C,21 - 30,1 - 10
0.0,1.0,44.0,2.0,0.0,90.0,male,Q,41 - 55,81 - 160
0.0,3.0,25.0,0.0,0.0,7.775,female,S,21 - 30,1 - 10
1.0,2.0,24.0,0.0,2.0,14.5,female,S,21 - 30,11 - 20
1.0,1.0,37.0,1.0,1.0,52.5542,male,S,31 - 40,41 - 80
0.0,2.0,54.0,1.0,0.0,26.0,male,S,51 - 60,21 - 40
0.0,3.0,40.5,0.0,0.0,7.25,male,S,41 - 55,1 - 10
0.0,3.0,29.0,1.0,1.0,10.4625,female,S,21 - 30,11 - 20
0.0,1.0,62.0,0.0,0.0,26.55,male,S,61 - 70,21 - 40
0.0,3.0,30.0,1.0,0.0,16.1,male,S,21 - 30,11 - 20
0.0,3.0,41.0,0.0,2.0,20.2125,female,S,41 - 55,21 - 40
1.0,3.0,29.0,0.0,2.0,15.2458,female,C,21 - 30,11 - 20
1.0,1.0,32.0,0.0,0.0,79.2,female,C,31 - 40,41 - 80
1.0,1.0,30.0,0.0,0.0,86.5,female,S,21 - 30,81 - 160
1.0,1.0,35.0,0.0,0.0,512.3292,female,C,31 - 40,321 - 513
1.0,2.0,50.0,0.0,1.0,26.0,female,S,41 - 55,21 - 40
0.0,3.0,67.75,0.0,0.0,7.75,male,Q,61 - 70,1 - 10
1.0,3.0,3.0,4.0,2.0,31.3875,male,S,1 - 5,21 - 40
0.0,1.0,52.0,1.0,1.0,79.65,male,S,51 - 60,41 - 80
0.0,1.0,40.0,0.0,0.0,0.0,male,S,31 - 40,0
0.0,3.0,33.0,0.0,0.0,7.75,female,Q,31 - 40,1 - 10
0.0,2.0,36.0,0.0,0.0,10.5,male,S,31 - 40,11 - 20
0.0,3.0,16.0,4.0,1.0,39.6875,male,S,16 - 20,21 - 40
1.0,3.0,25.0,1.0,0.0,7.775,male,S,21 - 30,1 - 10
1.0,1.0,58.0,0.0,1.0,153.4625,female,S,51 - 60,81 - 160
1.0,1.0,35.0,0.0,0.0,135.6333,female,S,31 - 40,81 - 160
0.0,1.0,55.5,0.0,0.0,31.0,male,S,51 - 60,21 - 40
1.0,3.0,25.0,0.0,0.0,0.0,male,S,21 - 30,0
1.0,2.0,41.0,0.0,1.0,19.5,female,S,41 - 55,11 - 20
0.0,1.0,37.0,0.0,1.0,29.7,male,C,31 - 40,21 - 40
1.0,3.0,19.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
1.0,1.0,63.0,1.0,0.0,77.9583,female,S,61 - 70,41 - 80
0.0,3.0,45.0,0.0,0.0,7.75,female,S,41 - 55,1 - 10
0.0,2.0,38.0,0.0,0.0,0.0,male,S,31 - 40,0
0.0,3.0,7.0,4.0,1.0,29.125,male,Q,6 - 10,21 - 40
1.0,3.0,35.0,1.0,1.0,20.25,female,S,31 - 40,21 - 40
0.0,3.0,65.0,0.0,0.0,7.75,male,Q,61 - 70,1 - 10
0.0,3.0,28.0,0.0,0.0,7.8542,male,S,21 - 30,1 - 10
0.0,3.0,16.0,0.0,0.0,9.5,male,S,16 - 20,1 - 10
1.0,3.0,19.0,0.0,0.0,8.05,male,S,16 - 20,1 - 10
0.0,1.0,55.5,0.0,0.0,26.0,male,S,51 - 60,21 - 40
0.0,3.0,33.0,0.0,0.0,8.6625,male,C,31 - 40,1 - 10
1.0,3.0,30.0,0.0,0.0,9.5,male,S,21 - 30,1 - 10
0.0,3.0,22.0,0.0,0.0,7.8958,male,S,21 - 30,1 - 10
1.0,2.0,42.0,0.0,0.0,13.0,male,S,41 - 55,11 - 20
1.0,3.0,22.0,0.0,0.0,7.75,female,Q,21 - 30,1 - 10
1.0,1.0,26.0,0.0,0.0,78.85,female,S,21 - 30,41 - 80
1.0,1.0,19.0,1.0,0.0,91.0792,female,C,16 - 20,81 - 160
0.0,2.0,36.0,0.0,0.0,12.875,male,C,31 - 40,11 - 20
0.0,3.0,24.0,0.0,0.0,8.85,female,S,21 - 30,1 - 10
0.0,3.0,24.0,0.0,0.0,7.8958,male,S,21 - 30,1 - 10
0.0,1.0,35.0,0.0,0.0,27.7208,male,C,31 - 40,21 - 40
0.0,3.0,23.5,0.0,0.0,7.2292,male,C,21 - 30,1 - 10
0.0,1.0,2.0,1.0,2.0,151.55,female,S,1 - 5,81 - 160
1.0,1.0,39.5,0.0,0.0,30.5,male,S,31 - 40,21 - 40
1.0,1.0,50.0,0.0,1.0,247.5208,female,C,41 - 55,161 - 320
1.0,3.0,19.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
1.0,3.0,27.0,2.0,0.0,23.25,male,Q,21 - 30,21 - 40
0.0,3.0,19.0,0.0,0.0,0.0,male,S,16 - 20,0
1.0,2.0,29.0,0.0,0.0,12.35,female,Q,21 - 30,11 - 20
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
1.0,1.0,0.92,1.0,2.0,151.55,male,S,1 - 5,81 - 160
1.0,1.0,28.0,0.0,0.0,110.8833,female,C,21 - 30,81 - 160
1.0,1.0,17.0,1.0,0.0,108.9,female,C,16 - 20,81 - 160
0.0,2.0,30.0,1.0,0.0,24.0,male,C,21 - 30,21 - 40
1.0,1.0,30.0,0.0,0.0,56.9292,female,C,21 - 30,41 - 80
1.0,1.0,24.0,0.0,0.0,83.1583,female,C,21 - 30,81 - 160
1.0,1.0,18.0,2.0,2.0,262.375,female,C,16 - 20,161 - 320
0.0,2.0,26.0,1.0,1.0,26.0,female,S,21 - 30,21 - 40
0.0,3.0,28.0,0.0,0.0,7.8958,male,S,21 - 30,1 - 10
0.0,2.0,43.0,1.0,1.0,26.25,male,S,41 - 55,21 - 40
1.0,3.0,26.0,0.0,0.0,7.8542,female,S,21 - 30,1 - 10
1.0,2.0,24.0,1.0,0.0,26.0,female,S,21 - 30,21 - 40
0.0,2.0,54.0,0.0,0.0,14.0,male,S,51 - 60,11 - 20
1.0,1.0,31.0,0.0,2.0,164.8667,female,S,31 - 40,161 - 320
1.0,1.0,40.0,1.0,1.0,134.5,female,C,31 - 40,81 - 160
0.0,3.0,22.0,0.0,0.0,7.25,male,S,21 - 30,1 - 10
0.0,3.0,27.0,0.0,0.0,7.8958,male,S,21 - 30,1 - 10
1.0,2.0,30.0,0.0,0.0,12.35,female,Q,21 - 30,11 - 20
1.0,2.0,22.0,1.0,1.0,29.0,female,S,21 - 30,21 - 40
0.0,3.0,45.5,8.0,2.0,69.55,male,S,41 - 55,41 - 80
1.0,1.0,36.0,0.0,0.0,135.6333,female,C,31 - 40,81 - 160
0.0,3.0,61.0,0.0,0.0,6.2375,male,S,61 - 70,1 - 10
1.0,2.0,36.0,0.0,0.0,13.0,female,S,31 - 40,11 - 20
1.0,3.0,31.0,1.0,1.0,20.525,female,S,31 - 40,21 - 40
1.0,1.0,16.0,0.0,1.0,57.9792,female,C,16 - 20,41 - 80
1.0,3.0,16.0,2.0,0.0,23.25,female,Q,16 - 20,21 - 40
0.0,1.0,45.5,0.0,0.0,28.5,male,S,41 - 55,21 - 40
0.0,1.0,38.0,0.0,1.0,153.4625,male,S,31 - 40,81 - 160
0.0,3.0,16.0,2.0,0.0,18.0,male,S,16 - 20,11 - 20
1.0,1.0,40.5,1.0,0.0,133.65,female,S,41 - 55,81 - 160
0.0,3.0,33.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
0.0,1.0,29.0,1.0,0.0,66.6,male,S,21 - 30,41 - 80
1.0,1.0,41.0,0.0,0.0,134.5,female,C,41 - 55,81 - 160
1.0,3.0,45.0,0.0,0.0,8.05,male,S,41 - 55,1 - 10
0.0,1.0,45.0,0.0,0.0,35.5,male,S,41 - 55,21 - 40
1.0,2.0,2.0,1.0,1.0,26.0,male,S,1 - 5,21 - 40
1.0,1.0,24.0,3.0,2.0,263.0,female,S,21 - 30,161 - 320
0.0,2.0,28.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
0.0,2.0,25.0,0.0,0.0,13.0,male,S,21 - 30,11 - 20
